PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,EC50 Qualifier,EC50,EC50 Standard Error,S0,SInf,Hill Slope,Num. Points,Max. Activity,Activity at 0.10uM,Activity at 0.19uM,Activity at 0.38uM,Activity at 0.75uM,Activity at 0.80uM,Activity at 1.50uM,Activity at 1.60uM,Activity at 3.00uM,Activity at 6.00uM
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"'<', '=', '>'",the concentration whereupon perceived activity reaches 50% of the maximum,the standard error for the calculated EC50 value,the fitted activity level at zero concentration,the fitted activity level at infinite concentration,the slope at EC50,the number of data points included in the plot,the maximum activity value observed,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration
RESULT_UNIT,,,,,,,,,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,0.1,0.19,0.38,0.75,0.8,1.5,1.6,3,6
1,24838069,3411151,COC1=CC=C(C=C1)C2CC(=NN2C(=O)CNC3CCCCC3)C4=CC5=CC=CC=C5C=C4,Active,56,,,=,2.764,1.096,-8.1,-100,2.61,10,-60,0.3,,-12.4,-18.4,,-19.9,,-60,
2,24780166,16187242,C1CN(C(C2=C1C3=CC=CC=C3N2)C4=CC=CC=C4F)CC5=CC=CN5C6=NC=CC=N6,Active,60,,,=,1.071,1.117,0,-100,2.14,14,-101.7,-0.2,-13.9,-6.1,-34.4,,-62,,-96.1,-101.7
3,17432187,2946068,CC(CCC1=CC=CC=C1)NC(=O)C2=CC=C(C=C2)NC(=O)C3=CC(=CC=C3)Br,Active,57,,,=,2.022,1.085,-19.7,-100,4,11,-96.4,-23.2,-10.5,-22.5,,-22.6,,-34.9,-96.4,
4,24815422,16194616,COC1=CC=C(C=C1)N2CCN(CC2)C(CNC(=O)C(=O)NCCCN3C=CN=C3)C4=CN=CC=C4,Active,70,,,<,0.1,,0,-95.9,1.79,14,-96,-67.8,-86.5,-90.5,,-95.6,,-95.7,-95.8,-96
5,22401607,3605184,C1=CC=C2C(=C1)C=CC=C2OCC(CNCCC3=CC=C(C=C3)C(F)(F)F)O,Active,62,,,=,0.631,1.052,0,-100,1.25,13,-100.2,-9.5,-18.6,-36.1,,-56.8,,-73.3,-87.5,-100.2
6,16952763,3424493,CC1=CC=C(C=C1)C23CC4CC(C2)CC(C4)(C3)NC(=O)NCCN(C)C,Active,60,,,=,0.948,1.056,-13.9,-101.4,2.88,14,-100.5,-12.9,-15.6,-20.6,-43,,-83.2,,-98.9,-100.5
7,49718521,24790245,CC1=C(C=C(C=C1)NC2CCCN(C2)C(=O)CCC3=CC=NC=C3)C,Active,59,,,=,1.152,1.034,5.4,-95,3.94,13,-95.7,5,7,2.2,-9.8,,-69.1,,-91.8,-95.7
8,49674214,4156468,CC1CCC2CCCCC2N1C(=O)C3=CC(=CC(=C3)[N+](=O)[O-])[N+](=O)[O-],Active,67,,,=,0.212,1.052,0,-103,2.04,14,-101.6,-24.4,-40.6,-82.1,-98.6,,-101.6,,-101.2,-100.8
9,24833935,5750335,C1C(N(N=C1/C=C/C2=CC=C(O2)[N+](=O)[O-])C3=CC=CC=C3)C4=CC=CO4,Active,64,,,=,0.427,1.076,0,-100,1.57,12,-101.2,-8.2,-29,-41,,-70.1,,-92.4,-101.2,
10,47200940,2921215,CCCC(=O)NC(C1=C(C=C(C=C1)Cl)Cl)C2=C(C3=C(C=CC=N3)C=C2)O,Active,70,,,=,0.102,1.023,0,-101.9,4,13,-102.3,-46.9,-100.6,-100.7,-102.3,,-101.6,,-100.3,-98
11,24808421,2892522,CCCN(CCC)CC#CC(C1=CC=CC=C1)(C2=CN=CC=C2)O,Active,63,,,=,0.463,1.072,-14.8,-93.2,3.72,14,-94.3,-20.8,-10.8,-42.3,-80.3,,-91.7,,-93.7,-94.3
12,24800561,16192230,CC1=C(C=CC(=C1C)OC)CN2CCN(CC2CCO)CC3=CSC(=C3)C(=O)C,Active,65,,,=,0.284,1.124,0,-98.5,1.53,14,-99.4,-6.4,-45.9,-58.5,-76.1,,-92.2,,-95.8,-99.4
13,24799821,16191491,CSC1=CC=CC=C1C(=O)C2CCCN(C2)CC3=CN(N=C3)C4=CC=CC=C4,Active,66,,,=,0.245,1.128,0,-102.4,1.14,14,-98,-25.7,-49.6,-57.6,,-83.1,,-94,-98,-97.4
14,49818065,24817139,CN(CC1CCCN(C1)CCC2=CC(=CC=C2)C(F)(F)F)C(=O)C3=CC=CO3,Active,70,,,<,0.1,,0,-104.4,0.57,13,-97.2,-63.8,-69.9,-81.5,,-85.6,,-93.2,-95.3,-97.2
15,24795598,2935582,CC1CCCN(C1)CCOCCOC2=C(C=C(C=C2Br)C)Cl.C(=O)(C(=O)O)O,Active,64,,,=,0.393,1.512,0,-116.9,0.72,14,-99.2,-36.3,-41.6,-54.1,-71,,-88.5,,-97.1,-99.2
16,49647783,3703449,COC1=CC=C(C=C1)C(CCN)C2=CC3=C(C=C2)OCO3,Active,52,,,=,7.309,1.13,-0.2,-100,2.85,11,-36.5,-2.5,5.3,-5.6,,6.4,,-3,-7.3,-36.5
17,26732265,16746427,C1C=CC2[C@@H](N(C(=O)C2C1C3=CC=CC=C3)CC4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-],Active,57,,,=,2.166,1.142,-25,-100,1.8,13,-97.2,-23,-35.2,-31,,-39.6,,-44.8,-71.6,-97.2
18,47197780,23723846,C1CC(CN(C1)CC2=CC(=CC=C2)C(F)(F)F)N3CCN(CC3)C4=CC=CC=C4F,Active,70,,,<,0.1,,0,-99.7,1.5,13,-101.2,-55.3,-79.2,-90.9,,-93.5,,-98.1,-100,-101.2
19,4258030,2949965,CC(C1=CC=CC=C1)NC2=NC(=NC3=CC=CC=C32)N4CCCC4,Active,62,,,=,0.568,1.199,-25,-100,1.39,14,-102,-34.9,-37.6,-52.4,-66.6,,-82.3,,-98.2,-102
20,17432447,1880332,CC(C)(C)C1=CC=C(C=C1)OP(=O)(C)NC2=CC=C(C=C2)SC(F)(F)F,Active,61,,,=,0.792,1.045,-22.9,-101.5,3.09,14,-100.9,-24.4,-20.7,-33,-57.5,,-93.2,,-100.9,-99.9
21,14722421,3203085,CC(C)C(C1=NN=NN1CC2=CC=CC=C2)N(CC3=CC=CO3)CC4=CC5=C(C=CC(=C5)OC)NC4=O,Inactive,0,,,>,60,,,,,12,-22.5,-10.1,-22.5,-15.6,,-11.1,,-9.6,-16.1,-18.5
22,24800791,16192460,CSC1=CC=CC(=C1)CN2CCCC(C2)(CC3=CC(=CC=C3)Cl)CO,Active,63,,,=,0.514,1.083,-21.5,-98.7,3.43,14,-100.2,-22,-24,-41.4,-82.8,,-94.1,,-99,-100.2
23,24790634,2882626,CC(C1=CC=CC=C1)NCC(COCCC23CC4CC(C2)CC(C4)C3)O.Cl,Active,68,,,=,0.157,1.187,0,-106,0.94,14,-101,-49,-46.4,-77.6,,-90.8,,-96.1,-98.8,-101
24,47197332,23723514,CC1=CC=CC=C1CN2CCN(CC2CCO)CC3=CC4=C(C=CC(=C4)OC)OC3,Active,64,,,=,0.391,1.043,0,-100,1.29,12,-94.7,-13.3,-32.9,-45.8,-69.6,,-86.2,,-94.7,
25,17431749,2894929,CCC1=CC=C(C=C1)OCC(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC2=CC=CC=C2C,Active,54,,,=,3.621,1.083,-25,-100,4,13,-98.6,-31.6,-22.8,-27.1,-25.8,,-27.4,,-42.9,-98.6
26,51087520,16812948,CN1CCN(CC1)C(CNC(=O)C(=O)NC2=CC3=C(C=C2)OCCO3)C4=CC=C(C=C4)F,Active,60,,,=,0.952,1.06,0,-100,1.52,14,-96.6,5.6,-9.3,-22.8,,-43.7,,-66.5,-85.3,-96.6
27,47196787,2872439,CC(=O)NC(C1=CC2=CC=CC=C2C=C1)C3=C(C4=C(C=CC=N4)C=C3)O,Active,65,,,=,0.306,1.095,-9.4,-100.7,4,12,-101,-14.3,-9.4,-77.2,-101,,-100.2,,-99.3,-96.8
28,26658169,135432711,C1=CC=C2C(=C1)NC(=N2)/C(=C(/C3=CC=C(S3)[N+](=O)[O-])\O)/C#N,Active,66,,,=,0.233,1.045,0,-101.7,3,11,-101.3,-3.1,-39.1,-81.3,,-100.8,,-101.3,-101,
29,47197175,23723411,CC1=C(C=CC(=C1)CN2CCN(CC2CCO)CC3=CC4=CC=CC=C4O3)OC,Active,65,,,=,0.306,1.334,0,-105.1,0.83,12,-96.3,-38.3,-38.2,-54.7,-76,,-82.5,,-90.5,-96.3
30,17388234,2881753,C1CCN(CC1)CCN2C3=CC=CC=C3N(C2=N)CC(C4=CC(=C(C=C4)Cl)Cl)O.Cl,Active,57,,,=,2.082,1.053,-12.2,-100,3.68,13,-99,-6.5,-14.9,-13.5,-17.2,,-31.7,,-82.1,-99
31,17516894,12006254,CCOC1=CC=C(C=C1)OCC(CNC2CCN(CC2)CC3=CC=CC=C3)O.C(=O)(C(=O)O)O,Active,70,,,<,0.1,,0,-98.5,0.5,14,-97,-82.1,-86.7,-85.5,-89,,-94.5,,-95.4,-97
32,49737159,24794015,CCN(CC1CCCN(C1)CCC2=CC(=CC=C2)OC)C(=O)C3=CC=C(O3)COC,Active,64,,,=,0.445,1.057,0,-98.6,1.75,14,-96,-5.4,-21.9,-40.1,,-73.1,,-90,-96,-96
33,24828775,4840816,CCCC(C1=CC=CC=C1)NCC(COC2=CC=C(C=C2)C3=CC=CC=C3)O,Active,57,,,=,2.102,1.062,-25,-100,2.85,14,-98.8,-22.1,-28.8,-28.5,,-28.5,,-47.5,-79.7,-98.8
34,24790578,135433188,CC(C)(C)C1=CC=C(C=C1)C2CC2C(=O)N/N=C\C3=CC=CN3,Active,64,,,=,0.389,1.065,5.4,-97.7,2.68,14,-97.1,5.4,-12.9,-41.4,,-87.1,,-97.1,-96.4,-95.5
35,17516884,6074923,CCC1CSC(=N1)NC2=CC=C(C=C2)C(=O)/C=C/C3=CC=CC(=C3)C,Active,55,,,=,3.064,1.098,-4.9,-100,2.46,11,-83,-3,2.7,-11.3,-14,,-8.9,,-53.8,-83
36,24789427,2834414,CC1CCC(C(C1)OC(=O)CN2C3=CC=CC=C3[N+](=C2C4=CC=C(C=C4)Br)C)C(C)C.[Cl-],Active,70,,,<,0.1,,0,-97.3,1.4,12,-98.3,-54.9,-69.6,,,-98.3,,-98,-94.8,-93.3
37,24819971,4251978,CC(C)(C)C1=CC=C(C=C1)C(=O)CC(C(=O)O)SC2=CC=C(C=C2)Cl,Active,57,,,=,2.02,1.042,-9,-100,3.43,14,-96.7,-7.7,-10.4,-4.7,-17.6,,-31.3,,-82.6,-96.7
38,49825459,24818940,COC1=C(C=CC(=C1)CN2CCCC(C2)C(=O)NC3=CC(=CC=C3)N4C=CC=N4)F,Active,67,,,=,0.194,1.243,0,-106.4,0.67,13,-98.5,-40,-56.2,-63.7,-75.2,,-85.6,,-90.1,-98.5
39,24783175,16008866,CC1CCCN(C1)CCCNC(=O)C2=CC3=C(S2)C4=CC=CC=C4N=C3Cl,Active,59,,,=,1.402,1.073,-15.9,-101.3,3.4,14,-99.7,-7.5,-19.9,-21.9,-24.4,,-63.1,,-96.6,-99.7
40,49677288,3878766,CN1CCN(CC1)C(C2=CC=C(C=C2)C(F)(F)F)C3=C(C4=C(C=CC=N4)C=C3)O,Active,58,,,=,1.639,1.089,0,-100,2.01,13,-95.6,-9.4,-1.3,-1.1,-18.5,,-46,,-75.9,-95.6
41,24781855,16187666,CCCOC1=CC=C(C=C1)NC(=O)CC2C(=O)N(C(=S)N2CCCN3CCN(CC3)CC4=CC=CC=C4)CC=C,Active,55,,,=,3.012,1.1,25,-100,2.78,9,-89.4,,,30.1,,31.5,,-2.2,-30.7,-89.4
42,17515878,12006202,CC1CCCN(C1)S(=O)(=O)C2=CC=C(C=C2)C(=O)NNC3=NC4=C(C=C(C=C4S3)C)C,Active,57,,,=,1.79,1.073,-13.8,-102.3,4,13,-98.6,-14.8,-9.3,-21.2,-13.8,,-40.3,,-98.6,-97.5
43,24798756,16190427,CCOC1=CC=CC=C1CN2CCN(CC2CCO)CC3=CC4=C(C=CC(=C4)OC)OC3,Active,59,,,=,1.291,1.089,-14,-100,1.85,13,-96.7,-17.4,-14.8,-15.5,,-43.8,,-61.6,-86.4,-96.7
44,24803085,3136123,CCC(=O)NC(C1=C(C2=C(C=CC=N2)C=C1)O)C3=CC=CS3,Active,63,,,=,0.48,1.051,0,-98,4,12,-99,,-7.7,-24.4,,-91.2,,-99,-96,-95.7
45,47197594,23723714,C1CCC(C1)C(=O)NC2CCCN(C2)CCC3=CC=CC=C3,Active,59,,,=,1.297,1.16,-25,-100,1.67,13,-95.8,-29.6,-38.1,-25.9,-42.2,,-68,,-87.7,-95.8
46,4262443,2943677,C1CCN(CC1)CC(COC2=CC=C(C=C2)OCC3=CC=CC=C3)O,Active,52,,,=,21.385,1.925,0,-100,0.5,13,-35.7,-7.7,-10.3,-9.9,-14.7,,-21.8,,-25.7,-35.7
47,22404784,2935038,CCC(C)NCCOCCOC1=C(C(=C(C=C1)Cl)C)C.C(=O)(C(=O)O)O,Active,68,,,=,0.148,1.227,0,-100,0.78,13,-101,-48.5,-53.9,-61.1,,-66,,-94,-98.9,-101
48,4246993,3241264,CCOC(=O)N1CCN(CC1)C(=O)CC(C(=O)N2CCC3=CC=CC=C32)N4C=CN=C4,Active,57,,,=,1.825,1.104,-8.3,-100,1.99,12,-91.4,-17.4,-5.7,-9.6,,-26.3,,-46.4,-76.1,-91.4
49,24826880,2320415,CCN(CC)P(=O)(C1=C(C=C(C=C1)N(C)C)NC(=O)C2=CC=CO2)NC3=CC=CC(=C3)C(F)(F)F,Active,59,,,=,1.296,1.195,0,-100,0.8,11,-76.4,-11,-20.8,-34.7,-37.9,,-40.5,,-76.4,
50,47196750,23723259,CCOC1=CC=C(C=C1)CN2CCCC(C2)N3CCN(CC3)C4=CC=C(C=C4)OC,Active,70,,,<,0.1,,0,-97.6,0.94,14,-97.6,-83.4,-87.1,-94.1,-95.6,,-96.4,,-97.6,-96
51,24780625,5719791,C1C(OC2=CC=CC=C2O1)C(=O)N/N=C\C3=CC=C(O3)[N+](=O)[O-],Active,63,,,=,0.532,1.119,-15.2,-94.2,2.15,13,-94.4,-20.9,-10.4,-45.4,-66.1,,-87.5,,-91.6,-94.4
52,17507526,3202581,CC1=CC=C(C=C1)CN(C(C2=CC=NC=C2)C(=O)NC3CCCC3)C(=O)CC4=CC=CS4,Active,56,,,=,2.292,1.076,-19.5,-100,3.67,13,-91.9,-11.4,-18.6,-23.5,-27.3,,-30.8,,-80.4,-91.9
53,24780154,16187238,CC(C)N1C=C(C=N1)CN2CCCC(C2)C(=O)C3=CC(=CC=C3)OC(C)C,Active,70,,,<,0.1,,0,-98.1,2.17,14,-99.2,-71.5,-89.9,-96.9,,-97.3,,-97.3,-99.2,-97.7
54,56317988,17442451,CC1CC1C(=O)NC2=CC(=C(C=C2)C)S(=O)(=O)N3CCOCC3,Active,57,,,=,1.909,1.066,25,-100,4,11,-97.2,27.8,26.4,20.1,,19.2,,-7.5,-97.2,
55,24787472,2962555,CC(C1=CC=CC=C1)NCC2=C(C=CC(=C2)Br)OCC(=O)NCC3=CC=CC=C3.Cl,Active,56,,,=,2.527,1.054,-3.3,-100,3.69,13,-97.9,-0.3,-10.5,-1.7,,1.8,,-19.7,-65.7,-97.9
56,4245619,3240067,C1CN(CCN1C2=CC=CC=C2)C(CNS(=O)(=O)C3=C(C=CC(=C3)F)F)C4=CN=CC=C4,Active,63,,,=,0.508,1.063,9.3,-95.8,4,14,-96.2,9.9,4.4,-11.4,,-87.1,,-92.6,-94.1,-96.2
57,24786713,3202877,C1CCC(C1)NC(=O)C(C2=CC=CC=C2)N(CC3=CN=CC=C3)C(=O)CC4=CC=CS4,Active,58,,,=,1.453,1.065,10.1,-93.5,4,12,-92.3,8.8,,8.4,6.8,,-45.6,,-89.3,-92.3
58,17416244,2892638,CCN1C(=O)C(N(C1=S)CCCC2=CC=CC=C2)CC(=O)NC3=CC=C(C=C3)Br,Active,56,,,=,2.315,1.082,-9.8,-100,4,12,-102.4,-19.3,,-4,-8.8,,-19.5,,-78.8,-102.4
59,49674608,3564247,C1CC(OC1)CNC(=O)C2=CC=C(S2)[N+](=O)[O-],Active,61,,,=,0.728,1.096,0,-100,1.39,12,-92.3,-4.6,-7.8,-32,,-59.9,,-64.4,-92.3,
60,17507905,3185254,CCC(C)NS(=O)(=O)C1=CC=C(C=C1)S(=O)(=O)N(CCC2=CC(=C(C=C2)OC)OC)CC3=CC=CS3,Active,58,,,=,1.723,1.071,-14.6,-102.9,4,14,-100.3,-9,-17.3,-15.8,,-20.9,,-50.7,-97.3,-100.3
61,24795329,2949476,CC1CCCC(C1C)NCCCCOC2=C(C=C(C=C2)C)C.C(=O)(C(=O)O)O,Active,61,,,=,0.778,1.196,0,-100,0.81,14,-98.6,-10.9,-31.9,-38.6,-51.8,,-50.7,,-69.4,-98.6
62,24819946,1476806,CC1=NC(=CC(=N1)S(=O)C2=CC=C(C=C2)Cl)COC,Active,58,,,=,1.776,1.07,-9.3,-99.2,4,14,-95.5,-5.2,-8.6,-9.7,,-18.6,,-42.2,-94.1,-95.5
63,51085307,16806776,COC1=CC=C(C=C1)S(=O)(=O)NCC(C2=CN=CC=C2)N3CCN(CC3)CC4=CC=CC=C4,Active,58,,,=,1.576,1.167,-11.1,-100,1.54,13,-100.2,-18.3,-12,-11.9,,-39.2,,-59.8,-67.4,-100.2
64,4257387,2941157,CCOC(=O)C1=C(NC(=C(C1C2=CC=CO2)C#N)SCC(=O)NC3=CC=C(C=C3)C)C4=CC=CC=C4,Active,55,,,=,2.914,1.082,-12.2,-100,2.44,12,-89.1,-11.6,-13.2,-7,-22.1,,-26,,-56.3,-89.1
65,14738432,4255778,CCN(CC)S(=O)(=O)C1=CC2=C(C=C1)OC(=C2C)C(=O)NC3CCCC4=CC=CC=C34,Active,57,,,=,2.095,1.067,-18,-100,3.11,14,-99.1,-14.4,-12.7,-21.7,,-30.1,,-39.3,-81.3,-99.1
66,7975068,3613648,CC(CCC=C(C)C)CN(C)CCC1=CC=CC=N1,Active,70,,,<,0.1,,0,-95.4,4,14,-97,-71.1,-94.2,-93.5,,-97,,-95.6,-95.7,-94.1
67,22405804,4278959,COC1=CC=C(C=C1)C2CC(=NN2C(=O)C3=CC(=C(C=C3)Cl)[N+](=O)[O-])C4=CC=CC=C4,Inconclusive,,,,-,,,,,,10,70.8,6.8,5.6,13.9,,,,,57.5,70.8
68,24805887,3136329,CCCCC(CC)C(=O)NC1=NC=C(S1)[N+](=O)[O-],Active,59,,,=,1.294,1.11,-6.4,-101.9,2.43,14,-98.3,-13.2,-1,-9,-29.7,,-60.1,,-93.5,-98.3
69,22409889,4412278,CC1(CC2CC(C1)(CN2S(=O)(=O)C3=CC=C(C=C3)C(=O)NC4=CC=C(C=C4)S(=O)(=O)N5CCOCC5)C)C,Active,57,,,=,1.834,1.069,-19.2,-102.7,4,13,-100.6,-23.1,-26.1,-16.2,,-17.5,,-49.1,-95.1,-100.6
70,24803341,16192618,CC1CCC(C(C1)OC(=O)CN2C3=CC=CC=C3[N+](=C2COC4=CC=CC(=C4)C)C)C(C)C.[Cl-],Active,62,,,=,0.565,1.073,-4.6,-97.7,4,13,-98.2,-2.9,-13.9,-16.4,,-82.4,,-96.4,-98.2,-95.5
71,17505480,3827421,C1CCC(C1)C(C2=CC=CC=C2)C(=O)NC3=CC4=CC=CC=C4C=C3,Active,56,,,=,2.416,1.096,-17.1,-100,2.33,13,-100.4,-13.9,-20,-13.6,-23.5,,-42,,-61.3,-100.4
72,24782157,16187777,CC1=C(C=CC(=C1)C2C3=C(CCN2CC4=CC=CN4C5=NC=CC=N5)C6=CC=CC=C6N3)OC,Active,59,,,=,1.282,1.113,0,-100,2.04,11,-100.3,,10.5,-11.9,-33.1,,-44.7,,-95.7,-100.3
73,26665311,328910,CN1CCC2=CC=CC=C2C1CC3=CC=CC=C3NC(=O)C4=C(C5=CC=CC=C5S4)Cl,Active,56,,,=,2.732,1.059,-8.2,-100,3.96,14,-99.4,-8.4,-14,-5,-3.8,,-18.5,,-61.2,-99.4
74,4244978,561049,CC(=O)CC1C(=C(C(=O)O1)Br)NCC2=CC=CC=C2,Active,61,,,=,0.808,1.102,-9.5,-100,2.08,12,-98.6,-6.9,-21,-22.6,-52.6,,-79.6,,-94.7,-98.6
75,17512274,12005609,CCCCCCCOC(=O)C[N+](C)(C)CCOC1CC2CCC1(C2(C)C)C.[Br-],Active,66,,,=,0.224,1.101,0,-99.1,1.59,14,-97.1,-21.6,-47.1,-62.1,-92.2,,-97.1,,-96.7,-95.5
76,17407639,3218178,CCC1=CC=C(C=C1)NC(=S)NC2CC3CCCC(C2)N3CC4=CC=CS4,Active,52,,,=,5.85,1.551,-25,-100,1.09,13,-72.8,-29.3,-13.7,-34.9,,-38.3,,-38.5,-36.1,-72.8
77,4262107,2958055,CC1CC(N2C3=C1C=C(C=C3C4(C2=O)C5=C(C=C(C=C5)O)OC(=C4C#N)N)C)(C)C,Active,59,,,=,1.41,1.082,25,-106,2.57,13,-98.5,29.8,26,16.2,0,,-40.7,,-96.7,-98.5
78,24781197,4571362,C1C(N(N=C1C2=CC3=CC=CC=C3C=C2)C(=O)CSC4=NN=NN4C5=CC=C(C=C5)O)C6=CC=CC=C6,Active,57,,,=,2.075,1.056,-13.6,-100,4,13,-101.4,-12.1,-12.5,-19.4,,-10.2,,-33.8,-86.9,-101.4
79,17413289,2830011,C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC2=C(C=C(C=C2)Cl)Cl,Active,59,,,=,1.141,1.075,-2.2,-102.3,2.86,14,-100.1,-3.4,-6.5,0.6,,-32.1,,-71.8,-100.1,-99.5
80,856000,62969,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC.Cl,Active,70,,,<,0.1,,0,-99.5,0.81,13,-99.3,-84.1,-89.4,-95.9,,-93.9,,-98,-98.4,-99.3
81,24800705,16192374,CN(CC1=CC=CC=C1)CC(COC2=CC=C(C=C2)CNCCC3=CC=NC=C3)O,Active,60,,,=,0.9,1.308,-25,-100,1.3,14,-100.8,-34,-34.4,-46.6,-52.5,,-64.9,,-96.5,-100.8
82,17388558,4279338,CCC(C1=CC=CC=C1)NC(=O)C2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-],Active,61,,,=,0.879,1.093,1.5,-104.9,1.64,14,-100.3,-0.3,-8,-20.5,-43.4,,-74.8,,-92.4,-100.3
83,14723553,9549450,CN(C)CC#CCC(C1CCCC1)(C2=CC=CC=C2)O.Cl,Active,70,,,<,0.1,,0,-100.6,1.11,14,-99.5,-71.7,-76.7,-96.5,,-97.5,,-98.6,-98.1,-99.5
84,24782482,3162837,C1C(N(N=C1C2=CC=CS2)C(=O)CCl)C3=CC=CO3,Active,57,,,=,1.976,1.229,-9.6,-100,2.16,12,-98.5,1.6,-13.9,-21.7,,-19.3,,,-71.3,-98.5
85,47197501,23723651,CC(C)(CNC1CCCN(C1)C2CC3=CC=CC=C3C2)CO,Active,70,,,<,0.1,,0,-96,3.21,13,-98.1,-69,-92.3,-93.7,,-94.1,,-96.4,-96.5,-98.1
86,4248553,3242621,COC1=CC=C(C=C1)CNC(=O)C2CC(=O)SC2,Inactive,0,,,>,30,,,,,11,-12,-7.9,-5.1,-3.7,,4,,-9.5,-12,
87,24804137,2920571,CCC(=O)NC(C1=CC=CO1)C2=CC(=C3C=CC=NC3=C2O)Cl,Active,57,,,=,1.967,1.114,-14,-100,4,12,-98.8,-8.2,-19.6,-16.7,-18.2,,-19.5,,-98.8,-96.6
88,17407660,2872175,CCOC(=O)C1=C(SC2=C1CCC(C2)C)NC(=O)CN3C=NC(=N3)[N+](=O)[O-],Active,70,,,<,0.1,,0,-103.4,1.2,14,-102.3,-75.8,-85.5,-97.5,,-102.1,,-102,-102.3,-101.8
89,24779488,16187068,C1COC(N1S(=O)(=O)C2=CC=C(C=C2)[N+](=O)[O-])CNC(=O)C(=O)NCC3=CC=CC=C3,Active,61,,,=,0.782,1.162,7.8,-109.1,1.2,14,-98.5,-0.4,-13,-25,,-53.2,,-71.4,-92.9,-98.5
90,24785241,16188753,COC1=CC=CC=C1/C=C/CN2CCCC(C2)CCC(=O)NCC3=CC=CC=C3F,Active,70,,,<,0.1,,,,,14,-101.8,-96.9,-98.8,-99.5,-100.7,,-96.5,,-101.2,-101.8
91,24784631,16188489,CCOC1=CC=C(C=C1)CN2CCN(CC2CCO)CC3=C4C(=CC=C3)OCO4,Active,67,,,=,0.208,1.057,0,-100.8,1.7,14,-99.7,-26.5,-42.3,-76.7,,-92.7,,-97.7,-98.8,-99.7
92,14726150,3136571,CCC1=CC2=C(C=C1)NC(=O)C23NN=C(S3)C4=CC=CC=C4,Active,63,,,=,0.524,1.074,16,-98.8,4,13,-97.1,10.4,17.3,1.5,,-88.5,,-96.6,-96.9,-97.1
93,24800197,16191866,CC(C)N1CCN(CC1CCO)CC2=CC3=C(C=C2)C4=CC=CC=C4C3,Active,63,,,=,0.532,1.116,0,-100,1.28,14,-100.6,-3,-33.2,-34.4,-63.5,,-69,,-98.8,-100.6
94,24805544,16192720,CC(C)NCC(COC1C2CC3CC(C2)CC1C3)O.Cl,Active,59,,,=,1.142,1.145,-25,-99.1,1.72,14,-93.6,-25.1,-29,-35.4,-48.9,,-69.3,,-89.7,-93.6
95,56318545,16282104,C1CCN(C1)C(CNC(=O)C2=CC=CC=C2SC3=C(C=C(C=C3)C(F)(F)F)[N+](=O)[O-])C4=CC=CO4,Active,58,,,=,1.644,1.101,-3.2,-100,1.44,13,-87.8,-9.2,-3.4,-7.9,-31,,-47.4,,-70.3,-87.8
96,26729207,2823667,CCC(C)C1=CC=CC=C1NC(=O)C2=CC3=C(N2)C(=CC=C3)[N+](=O)[O-],Active,59,,,=,1.355,1.174,-23.5,-100,1.23,14,-90.8,-30,-26.1,-34.2,-51.7,,-64.9,,-76.2,-90.8
97,24830280,3254086,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C(C)OC(=O)C3=CC=C(S3)[N+](=O)[O-],Active,58,,,=,1.589,1.107,20.1,-100,1.63,14,-92.6,17.6,20.5,9,-13.9,,-30.9,,-68.5,-92.6
98,17504268,3190331,CC(C)CCNC(=O)C(C1=CC=C(C=C1)O)N(CC2=CC=CS2)C(=O)C3COC4=CC=CC=C4O3,Active,58,,,=,1.577,1.085,-18.7,-100,4,12,-101.1,-7.7,-5.2,-26.5,-28.6,,-52.2,,-101.1,-100.4
